Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Lockup Torque Converter,Carline Class Desc,Oil Viscosity,Calc Approach Desc,Label Recalc?
,8,21.055,6,85.0,1,1,Y,Standard SUV 4WD,0W20,Derived 5-cycle label,N
5.5,8,19.4439,7,10.0,2,2,Y,Standard SUV 4WD,5W-30 and 0W-40,Derived 5-cycle label,N
3.5,6,27.1626,10,15.0,2,2,Y,not provided,SAE 5W-30 API SN Plus,Derived 5-cycle label,N
3.0,6,28.6391,8,15.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
1.4,4,47.7599,7,15.0,2,2,N,Midsize Cars,5W30,   ,N
2.0,4,36.1059,8,10.0,2,2,Y,Midsize Cars,0W-30,   ,N
,4,36.9925,6,15.0,2,2,Y,Small SUV 4WD,SAE 5W20,Derived 5-cycle label,N
2.0,4,34.6026,8,10.0,2,2,Y,Midsize Cars,0W20,   ,N
1.6,4,36.8599,6,15.0,2,2,Y,not provided,5W30,Vehicle Specific 5-cycle label,N
2.0,4,31.8747,7,15.0,2,2,Y,Subcompact Cars,##-##,Vehicle Specific 5-cycle label,N
2.0,4,32.8017,6,15.0,2,2,Y,Small SUV 2WD,5W30 API SN Plus,Derived 5-cycle label,N
4.0,8,17.7294,8,15.0,2,2,Y,Standard SUV 4WD,0W40 VW50200 / VW50500,Derived 5-cycle label,N
3.5,6,25.406999999999996,6,85.0,2,2,Y,not provided,SAE 5W-20 / API SN Plus,Derived 5-cycle label,N
,6,29.5574,8,10.0,2,2,Y,Standard SUV 4WD,0W-20,Derived 5-cycle label,N
1.4,4,43.8685,6,10.0,2,2,Y,Midsize Cars,0W20,   ,N
3.0,6,27.4684,9,10.0,2,2,Y,Compact Cars,0W20,   ,N
2.4,4,37.5287,8,10.0,2,2,Y,Compact Cars,0W-20,Derived 5-cycle label,N
4.0,8,18.4802,9,10.0,2,2,Y,Standard SUV 4WD,5W40,Derived 5-cycle label,N
